United Kingdom	15/02/2021	546165	275956	6535
United Kingdom	14/02/2021	539630	237962	1915
United Kingdom	13/02/2021	537715	505362	2846
United Kingdom	12/02/2021	534869	544603	4775
United Kingdom	11/02/2021	530094	503116	5647
United Kingdom	10/02/2021	524447	450810	4894
United Kingdom	09/02/2021	519553	411812	3161
United Kingdom	08/02/2021	516392	352480	3811
United Kingdom	07/02/2021	512581	278988	862
United Kingdom	06/02/2021	511719	549808	1662
United Kingdom	05/02/2021	510057	494163	4064
United Kingdom	04/02/2021	505993	480560	4036
United Kingdom	03/02/2021	501957	469016	2995
United Kingdom	02/02/2021	498962	374756	2166
United Kingdom	01/02/2021	496796	350348	2587
United Kingdom	31/01/2021	494209	319038	3156
United Kingdom	30/01/2021	491053	598389	10621
United Kingdom	29/01/2021	480432	487756	2178
United Kingdom	28/01/2021	478254	414419	1769
United Kingdom	27/01/2021	476485	312378	2329
United Kingdom	26/01/2021	474156	311060	1710
United Kingdom	25/01/2021	472446	279757	1968
United Kingdom	24/01/2021	470478	220249	818
United Kingdom	23/01/2021	469660	491970	1043
United Kingdom	22/01/2021	468617	478248	1821
United Kingdom	21/01/2021	466796	409855	2760
United Kingdom	20/01/2021	464036	363508	3411
United Kingdom	19/01/2021	460625	343163	3759
United Kingdom	18/01/2021	456866	204076	4565
United Kingdom	17/01/2021	452301	190107	2239
United Kingdom	16/01/2021	450062	296131	2620
United Kingdom	15/01/2021	447442	341317	4208
United Kingdom	14/01/2021	443234	316694	5257
United Kingdom	13/01/2021	437977	278943	9745
United Kingdom	12/01/2021	428232	207661	16065
United Kingdom	11/01/2021	412167	145076	20768	
